local_folder,local_path,filename,detected_title,detected_author,isbn_10,isbn_13,doi,ocaid,lccn,year,publisher,ol_work_key,ol_edition_key,ol_title,ol_author,confidence,status,notes,candidates_json,create_record
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,Las diferencias en la aplicación de instrumentos de planificación y,Fabián Alberto Díaz; Vanessa Velasco Bernal,,,,,,2011,Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR),,,,,1.000,VERIFIED_NONBOOK,"Paper in the anais of the XIV Encontro Nacional da ANPUR, Rio de Janeiro, May 2011; the official ANPUR PDF was downloaded and prints exactly the same truncated title ending in 'y', so the printed title is reproduced verbatim rather than reconstructed; a conference paper, not an Open Library book",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Experience with the betterment levy in Peru. Gamarra Huayapa English Final.pdf,Experience with the betterment levy in Peru. Gamarra Huayapa English Final.pdf,Experience with the Betterment Levy in Peru,Margarita Gamarra Huayapa,,,,,,2001,Lincoln Institute of Land Policy,/works/OL45930557W,/books/OL62489550M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,"5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/GUZMAN, PAEZ y BORRERO CIE UANDES PPT estrategia de captura de valor para financiar la construccion del metro de Bogota.pdf","GUZMAN, PAEZ y BORRERO CIE UANDES PPT estrategia de captura de valor para financiar la construccion del metro de Bogota.pdf",Estrategias de captura de valor para financiar la construcción del metro de Bogotá: instrumentos y potencial,Luis A. Guzmán; Daniel Páez; Oscar Borrero,,,,,,2012,Universidad de los Andes,/works/OL45931467W,/books/OL62490661M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf,Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf,The Effects of Land Policy on Urban Land Prices in Bogotá,Oscar Borrero,,,,,,2007,Lincoln Institute of Land Policy,/works/OL45930559W,/books/OL62489552M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Informe Final Curso Captura de valor (Ago2018) 20180920.pdf,Informe Final Curso Captura de valor (Ago2018) 20180920.pdf,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: informe final,Despacio; Infratrans,,,,,,2018,CAF - Banco de Desarrollo de América Latina,/works/OL45930560W,/books/OL62489553M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,"5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf","Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf",Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones,Patricia Acosta Restrepo,,,,,,2010,Universidad del Rosario,,,,,1.000,VERIFIED_NONBOOK,"Official journal and university research records verify the canonical title, author, year, journal issue, pages, publisher, and DOI",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Insumos-para-la-aplicación-de-Certificados-de-Potencial-Adicional-de-Construcción-en-la-ciudad-de-Cali-CEPAC.pdf,Insumos-para-la-aplicación-de-Certificados-de-Potencial-Adicional-de-Construcción-en-la-ciudad-de-Cali-CEPAC.pdf,Insumos para la aplicación de Certificados de Potencial Adicional de Construcción en la ciudad de Cali,Tito Yepes; Juan Carlos Junca; Juliana Aguilar; Sebastián Martínez,,,,,,2013,Fedesarrollo,/works/OL45930561W,/books/OL62489554M,Informe final,Byron Garoz Herrarte; Juan Pablo Ozaeta; Colectivo de Estudios Rurales IXIM,1.000,APPROVED,Created after explicit create_record=YES review,"[{""work_key"": ""/works/OL44670463W"", ""title"": ""Informe final"", ""author"": [""Byron Garoz Herrarte"", ""Juan Pablo Ozaeta"", ""Colectivo de Estudios Rurales IXIM""], ""score"": 0.823}, {""work_key"": ""/works/OL32825391W"", ""title"": ""Informe final de observación electoral 2012"", ""author"": [""Instituto para el Desarrollo y la Democracia (Nicaragua)""], ""score"": 0.386}, {""work_key"": ""/works/OL44297802W"", ""title"": ""Observación electoral"", ""author"": [], ""score"": 0.294}, {""work_key"": ""/works/OL44405539W"", ""title"": ""Evaluación del proceso electoral primario novembre 2012"", ""author"": [""Movimiento de Mujeres por la Paz \""Visitación Padilla\""""], ""score"": 0.234}, {""work_key"": ""/works/OL32676284W"", ""title"": ""Sistematización del proceso metodológico de la primera encuesta nacional de inmigrantes en la República Dominicana [ENI -2012]"", ""author"": [""United Nations Population Fund""], ""score"": 0.229}]",YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Joint-Development-Policies-2013-07-25.pdf,Joint-Development-Policies-2013-07-25.pdf,Joint Development Policies and Guidelines,Washington Metropolitan Area Transit Authority,,,,,,2013,Washington Metropolitan Area Transit Authority,/works/OL45930562W,/books/OL62489555M,Fault and joint development in brittle and semi-brittle rock,Neville J. Price,1.000,APPROVED,Created after explicit create_record=YES review,"[{""work_key"": ""/works/OL31620717W"", ""title"": ""Fault and joint development in brittle and semi-brittle rock"", ""author"": [""Neville J. Price""], ""score"": 0.374}, {""work_key"": ""/works/OL29399418W"", ""title"": ""South China Sea"", ""author"": [""Mark J. Valencia""], ""score"": 0.307}, {""work_key"": ""/works/OL25732450W"", ""title"": ""Beyond Territorial Disputes in the South China Sea"", ""author"": [""Tara Davenport"", ""Ian Townsend-Gault"", ""Clive Schofield"", ""Leonardo Bernard"", ""Robert Beckman""], ""score"": 0.245}]",YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,Land value capture mechanisms in Hong Kong and Singapore,Eddie Chi‐Man Hui; Vivian Sze‐Mun Ho; David Kim‐Hin Ho,,,10.1108/14635780410525153,,,2004,Emerald,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/LandRentCaptureHongKong_1998.pdf,LandRentCaptureHongKong_1998.pdf,Opportunities and Risks of Capturing Land Values Under Hong Kong's Leasehold System,Yu-Hung Hong; Alven H. S. Lam,,,,,,1998,Lincoln Institute of Land Policy,/works/OL45930563W,/books/OL62489556M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,,,10.1016/j.tranpol.2009.11.002,,,2010,Elsevier BV,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/NBC-CA-Land-ValueCapture2.pdf,NBC-CA-Land-ValueCapture2.pdf,Land Value Capture as a Source of Funding of Public Transit for Greater Montréal,George Hazel Consultancy Ltd; Edinburgh-Rail Ltd,,,,,,2014,National Bank of Canada,/works/OL45930564W,/books/OL62489557M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,Jorge A. Perdomo,,,10.1080/13504851.2011.554360,,,2011,Informa UK Limited,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC,Vera F. Rezende; Fernanda Furtado; M. Teresa C. Oliveira; Pedro Jorgensen Jr.,,,,,,2011,"Revista de Direito da Cidade, Universidade do Estado do Rio de Janeiro",,,,,1.000,VERIFIED_NONBOOK,"Journal article, Revista de Direito da Cidade vol. 3 no. 2 (2011), pp. 156-205, with collaboration by Isabela Bacellar; the local PDF's first page and its embedded document title confirm the exact title and the four credited authors; the UERJ e-publicações host did not respond during this session",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ROJASF~1.PDF,ROJASF~1.PDF,"Aportes para a melhoria da gestão do transporte público por ônibus de Bogotá, a partir das experiências de Belo Horizonte e Curitiba",Fernando Rojas Parra,,,,,,2006,Pontificia Universidad Javeriana,,,,,1.000,VERIFIED_NONBOOK,"Papel Político (Bogotá) vol. 11 no. 2, julio-diciembre 2006, pp. 557-594; the local PDF uses a shifted font encoding whose decoded title block and running head confirm the journal, volume, issue and the author's Javeriana affiliation; a journal article, not an Open Library book",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SALGAD~1.PDF,SALGAD~1.PDF,Movilización social de la valorización de la tierra: casos latinoamericanos,María Clara Vejarano; Martim O. Smolka,,,,,,2007,Lincoln Institute of Land Policy,/works/OL45930565W,/books/OL62489558M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,Financing Transit Systems Through Value Capture,Jeffery J. Smith; Thomas A. Gihring,,,,,,2006,Wiley,,,,,0.917,VERIFIED_EXTERNAL,Near-exact long-title search recovered authoritative Crossref DOI metadata for a non-book publication,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,Una nueva mirada a la recuperación de plusvalías en América Latina,Martim O. Smolka,,,,,,2012,Lincoln Institute of Land Policy,,,,,1.000,VERIFIED_NONBOOK,Official Lincoln Institute copy verifies this as a July 2012 Land Lines article rather than a standalone book,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf,SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf,Recuperación de plusvalías para el desarrollo urbano: una comparación inter-americana,Martim O. Smolka; David Amborski,,,,,,2003,"Instituto de Estudios Urbanos y Territoriales, Pontificia Universidad Católica de Chile",,,,,1.000,VERIFIED_NONBOOK,"Revista EURE vol. XXIX no. 88, Santiago de Chile, diciembre 2003, pp. 55-77; the local PDF's first page carries that exact citation line and the DOI resolves to the matching SciELO Chile record; a journal article, not an Open Library book",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Suzuki.pdf,Suzuki.pdf,9781464801495.pdf,of the adaptation and are not endorsed by The World Bank.,,9781464801495,10.1596/978-1-4648-0149-5,,,2009,© 2015 International Bank for Reconstruction and Development / The World Bank,/works/OL22324214W,/books/OL30404172M,Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries,Hiroaki Suzuki; Jin Murakami; Yu-Hung Hong; Beth Tamayose,1.000,MATCHED,Exact DOI metadata led to Open Library via ISBN,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TfL (2017) - land_value_capture_report_annexes_transport_for_london.pdf,TfL (2017) - land_value_capture_report_annexes_transport_for_london.pdf,Land Value Capture: Annexes,Transport for London; Greater London Authority,,,,,,2017,Transport for London; Greater London Authority,/works/OL45930566W,/books/OL62489560M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TLS-2014-Research-Paper-Value-Capture.pdf,TLS-2014-Research-Paper-Value-Capture.pdf,Location Value Capture Opportunities for Urban Public Transport Finance,Deborah Salon,,,,,,2014,Regional Plan Association; Volvo Research and Educational Foundations,/works/OL45930568W,/books/OL62489561M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TOBON MARIA PATRICIA MOLINA Rentas inmobiliarias-cargas y beneficios metrocable.pdf,TOBON MARIA PATRICIA MOLINA Rentas inmobiliarias-cargas y beneficios metrocable.pdf,Rentas inmobiliarias privadas en la distribución de cargas y beneficios de los proyectos urbanos: estudio del polígono de la estación Andalucía del Metrocable de Medellín,María Patricia Tobón Molina,,,,,,2012,"Universidad Nacional de Colombia, Sede Medellín",/works/OL45930569W,/books/OL62489562M,El contenido del silencio,Lucía Etxebarría,1.000,APPROVED,Created after explicit create_record=YES review,"[{""work_key"": ""/works/OL22477839W"", ""title"": ""El contenido del silencio"", ""author"": [""Lucía Etxebarría""], ""score"": 0.46}, {""work_key"": ""/works/OL22403985W"", ""title"": ""El contenido de los conflictos"", ""author"": [""Laura Pasquali"", ""Oscar R. Videla""], ""score"": 0.43}, {""work_key"": ""/works/OL34257195W"", ""title"": ""Aforismos y Otros Contenidos"", ""author"": [""Luis Fernández""], ""score"": 0.414}, {""work_key"": ""/works/OL35204085W"", ""title"": ""Los contenidos en la catequesis"", ""author"": [""Emilio Alberich Sotomayor""], ""score"": 0.403}, {""work_key"": ""/works/OL35204086W"", ""title"": ""Los contenidos en la catequesis"", ""author"": [""Emilio Alberich Sotomayor""], ""score"": 0.403}]",YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TRB Land value capture d10781.pdf,TRB Land value capture d10781.pdf,"GAO-10-781 Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies","U.S. Government Accountability Office, http://www.gao.gov",,,,,,2010,,/works/OL32187232W,/books/OL43926837M,"Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies",United States Government Accountability Office,1.000,MATCHED,"Official GAO product record verifies title, report number GAO-10-781, responsible organization, publication date, and 55-page report format",,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/value_capture_transit.pdf,value_capture_transit.pdf,Value Capture from Transit-Oriented Development and Other Transportation Interchanges,African Development Economic Consultants; BKS Engineers,,,,,,2010,Urban LandMark,/works/OL45930570W,/books/OL62489563M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/World Bank 2015 financing with value capture.pdf,World Bank 2015 financing with value capture.pdf,World Resources Institute,World Bank Group,,9781464801495,10.1596/978-1-4648-0149-5,,,2015,"University of California, Berkeley",/works/OL22324214W,/books/OL30404172M,Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries,Hiroaki Suzuki; Jin Murakami; Yu-Hung Hong; Beth Tamayose,1.000,MATCHED,Exact DOI metadata led to Open Library via ISBN,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. BOG BRT prices Rodriguez & Mojica 2009.pdf,X. BOG BRT prices Rodriguez & Mojica 2009.pdf,Capitalization of BRT network expansions effects into prices of non-expansion areas,Daniel A. Rodríguez; Carlos H. Mojica,,,10.1016/j.tra.2009.02.003,,,2009,Elsevier BV,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. Mendoza - Master Thesis - Value capture for funding Colombian BRTs.pdf,X. Mendoza - Master Thesis - Value capture for funding Colombian BRTs.pdf,Value Capture for Funding Colombian BRTS Infrastructure: The Case of Transmilenio in Bogotá,Camilo Mendoza,,,,,,2005,"Institute for Housing and Urban Development Studies (IHS), Erasmus University Rotterdam",/works/OL45930572W,/books/OL62489565M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/DOT Estándar 2.1 (Copia en conflicto de Despacio org 2024-11-15).pdf,DOT Estándar 2.1 (Copia en conflicto de Despacio org 2024-11-15).pdf,"TOD Standard, Version 2.1",Institute for Transportation and Development Policy,,,,,,2014,Institute for Transportation and Development Policy; Despacio,/works/OL45930573W,/books/OL62491514M,,,1.000,APPROVED,Alternate edition attached to /works/OL45930573W,,
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/DOT Estándar 2.1.pdf,DOT Estándar 2.1.pdf,"TOD Standard, Version 2.1",Institute for Transportation and Development Policy,,,,,,2014,Institute for Transportation and Development Policy; Despacio,/works/OL45930573W,/books/OL62489566M,Matrimonio Aprobado Por Dios,Julio Dos Santos,1.000,APPROVED,Created after explicit create_record=YES review,"[{""work_key"": ""/works/OL37608641W"", ""title"": ""Matrimonio Aprobado Por Dios"", ""author"": [""Julio Dos Santos""], ""score"": 0.517}, {""work_key"": ""/works/OL34308917W"", ""title"": ""Formulario ʹo recetario quirurgico, aprobado por el real proto-medicato ..."", ""author"": [""Félix Fermín Eguía y Harrieta""], ""score"": 0.283}, {""work_key"": ""/works/OL24958996W"", ""title"": ""Informe aprobado por la Junta de Gobierno del Consulado de Guatemala"", ""author"": [""Consulado Nacional (Guatemala)""], ""score"": 0.28}, {""work_key"": ""/works/OL1214643W"", ""title"": ""Cuba no debe su independencia a los Estados Unidos"", ""author"": [""Emilio Roig de Leuchsenring""], ""score"": 0.258}, {""work_key"": ""/works/OL43457306W"", ""title"": ""Programa de derecho internacional publico, aprobado por la Facultad"", ""author"": [""Guayaquil. Universidad. Facultad de Jurisprudencia y Ciencias Sociales""], ""score"": 0.252}]",YES
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/FINAL_PerformanceBasedTODTypologyGuidebook_FINAL.pdf,FINAL_PerformanceBasedTODTypologyGuidebook_FINAL.pdf,Performance-Based Transit-Oriented Development Typology Guidebook,Mason Austin; Dena Belzer; Albert Benedict; Paul Esling; Peter Haas; Gajus Miknaitis; Elizabeth Wampler; Jeff Wood; Linda Young; Sam Zimbabwe,,,,,,2010,Center for Transit-Oriented Development; Reconnecting America; Center for Neighborhood Technology; Strategic Economics,/works/OL45930574W,/books/OL62489567M,,,1.000,APPROVED,Created after explicit create_record=YES review,,YES
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/ITDP TOD Standard_Final_ITDP.pdf,ITDP TOD Standard_Final_ITDP.pdf,"TOD Standard, Version 2.1",Institute for Transportation and Development Policy,,,,,,2014,Institute for Transportation and Development Policy; Despacio,/works/OL45930573W,/books/OL62491515M,,,1.000,APPROVED,Alternate edition attached to /works/OL45930573W,,
DOTS América Latina,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/1 Creacion y captura de valor para el desarrollo de proyectos de transporte-28feb.pdf,1 Creacion y captura de valor para el desarrollo de proyectos de transporte-28feb.pdf,Creación y captura de valor para el desarrollo de proyectos de transporte,Carlos Felipe Pardo; Juan Felipe Pinilla Pineda; Catalina Villegas; Adriana Hurtado; Gregor Wessels; Carlos A. Moreno; Patricia Calderón; Catalina Duarte,,9789804221279,,,,2019,CAF,/works/OL45930575W,/books/OL62489568M,Tratados de la Union Europea,Union Europea,1.000,APPROVED,Created after explicit create_record=YES review,"[{""work_key"": ""/works/OL40790458W"", ""title"": ""Tratados de la Union Europea"", ""author"": [""Union Europea""], ""score"": 0.508}, {""work_key"": ""/works/OL23342781W"", ""title"": ""Historia de la Unión Europea"", ""author"": [""Donato Fernández Navarrete""], ""score"": 0.502}, {""work_key"": ""/works/OL42872650W"", ""title"": ""Le agenzie dell'Unione europea"", ""author"": [""Jacopo Alberti""], ""score"": 0.487}, {""work_key"": ""/works/OL34924135W"", ""title"": ""Derecho civil de la unión Europea"", ""author"": [""María Dolores Díaz-AmBrona Bardadjí""], ""score"": 0.487}, {""work_key"": ""/works/OL22356629W"", ""title"": ""Curso de derecho de la Unión europea"", ""author"": [""Joaquín Alcaide Fernández"", ""Rafael Casado Raigón""], ""score"": 0.452}]",YES
DOTS América Latina,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2019_TOD_Gentrification.pdf,2019_TOD_Gentrification.pdf,Transit-oriented development and gentrification: a systematic review,Miguel Padeiro; Ana Louro; Nuno Marques da Costa,,,10.1080/01441647.2019.1649316,,,2019,Informa UK Limited,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
DOTS América Latina,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2021_DOTS_SantaFe.pdf,2021_DOTS_SantaFe.pdf,Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina),María Alejandra Saus; Andrés Ignacio Aguirre,,,10.5821/siiu.10156,,,2022,Universitat Politècnica de Catalunya,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
DOTS América Latina,5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2021_DOTS_tren_Santiago.pdf,2021_DOTS_tren_Santiago.pdf,"Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile",Giovanni Vecchio,,,10.22320/07183607.2021.24.43.08,,,2021,Universidad del Bio Bio,,,,,1.000,VERIFIED_EXTERNAL,DOI metadata verifies a non-book publication; do not create it as an Open Library book,,
