local_folder,local_path,filename,previous_status,verification_status,source,document_type,canonical_title,canonical_author,canonical_publisher,canonical_year,doi,ocaid,lccn,isbn_10,isbn_13,external_url,ol_work_key,ol_edition_key,confidence,duplicate_of_path,parent_publication_id,publication_role,notes,candidates_json
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,proceedings-article,Las diferencias en la aplicación de instrumentos de planificación y,Fabián Alberto Díaz; Vanessa Velasco Bernal,Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR),2011,,,,,,https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf,,,1.000,,anpur-2011-diaz-velasco,NONBOOK,"Paper in the anais of the XIV Encontro Nacional da ANPUR, Rio de Janeiro, May 2011; the official ANPUR PDF was downloaded and prints exactly the same truncated title ending in 'y', so the printed title is reproduced verbatim rather than reconstructed; a conference paper, not an Open Library book",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Experience with the betterment levy in Peru. Gamarra Huayapa English Final.pdf,Experience with the betterment levy in Peru. Gamarra Huayapa English Final.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,working-paper,Experience with the Betterment Levy in Peru,Margarita Gamarra Huayapa,Lincoln Institute of Land Policy,2001,,,,,,https://www.lincolninst.edu/app/uploads/2024/04/1558_783_Land20Lines20Jan20200920final.pdf,,,1.000,,gamarra-betterment-levy-peru-2001,PUBLICATION,"Lincoln Institute bibliography and the local working-paper title page verify the title, author, publisher, and original 2001 date; a later bibliography lists the English translation in 2008",
Captura de valor,"5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/GUZMAN, PAEZ y BORRERO CIE UANDES PPT estrategia de captura de valor para financiar la construccion del metro de Bogota.pdf","GUZMAN, PAEZ y BORRERO CIE UANDES PPT estrategia de captura de valor para financiar la construccion del metro de Bogota.pdf",NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,presentation,Estrategias de captura de valor para financiar la construcción del metro de Bogotá: instrumentos y potencial,Luis A. Guzmán; Daniel Páez; Oscar Borrero,Universidad de los Andes,2012,,,,,,,,,1.000,,guzman-paez-borrero-metro-bogota-2012,NONBOOK,"Bilingual conference slide deck dated 5 December 2012; slide 1 and the embedded PDF title 'TS08A Luis A. Guzmán' verify the title, the three authors and the session code; no public conference proceedings record was located, and slides are not an Open Library book",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf,Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,working-paper,The Effects of Land Policy on Urban Land Prices in Bogotá,Oscar Borrero,Lincoln Institute of Land Policy,2007,,,,,,https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/,,,1.000,,borrero-land-policy-prices-bogota-2007,PUBLICATION,"Official Lincoln Institute working-paper page verifies the canonical title, author, publisher, September 2007 date, language, and pagination",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Informe Final Curso Captura de valor (Ago2018) 20180920.pdf,Informe Final Curso Captura de valor (Ago2018) 20180920.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,report,Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: informe final,Despacio; Infratrans,CAF - Banco de Desarrollo de América Latina,2018,,,,,,,,,1.000,,curso-captura-valor-2018,PUBLICATION,"Cover page verifies the title, the label 'Informe final', the course dates 27-30 August 2018 in Bogotá, the clients CAF and FDN, and execution by Despacio and Infratrans; no public repository copy was located, so an authoritative URL is still outstanding",
Captura de valor,"5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf","Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf",NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,article,Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones,Patricia Acosta Restrepo,Universidad del Rosario,2010,10.12804/revistas.urosario.edu.co/desafios/a.1289,,,,,https://revistas.urosario.edu.co/index.php/desafios/article/view/1289,,,1.000,,acosta-instrumentos-financiacion-2010,NONBOOK,"Official journal and university research records verify the canonical title, author, year, journal issue, pages, publisher, and DOI",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Insumos-para-la-aplicación-de-Certificados-de-Potencial-Adicional-de-Construcción-en-la-ciudad-de-Cali-CEPAC.pdf,Insumos-para-la-aplicación-de-Certificados-de-Potencial-Adicional-de-Construcción-en-la-ciudad-de-Cali-CEPAC.pdf,REVIEW,CREATE_CANDIDATE,verified_manifest,report,Insumos para la aplicación de Certificados de Potencial Adicional de Construcción en la ciudad de Cali,Tito Yepes; Juan Carlos Junca; Juliana Aguilar; Sebastián Martínez,Fedesarrollo,2013,,,,,,https://ideas.repec.org/p/col/000124/012155.html,,,1.000,,cepac-cali-2013,PUBLICATION,"RePEc and the Fedesarrollo repository verify the full report title, authors, year, and publisher",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Joint-Development-Policies-2013-07-25.pdf,Joint-Development-Policies-2013-07-25.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,guidelines,Joint Development Policies and Guidelines,Washington Metropolitan Area Transit Authority,Washington Metropolitan Area Transit Authority,2013,,,,,,https://www.wmata.com/about/board/upload/Joint-Development-Policies-2013-07-25.pdf,,,1.000,,wmata-joint-development-2013,PUBLICATION,"Official WMATA document and FHWA resource catalog verify the canonical title, responsible organization, publisher, revised date of 25 July 2013, and guideline format",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,Land value capture mechanisms in Hong Kong and Singapore_2004.pdf,NOT_FOUND,VERIFIED_EXTERNAL,crossref,journal-article,Land value capture mechanisms in Hong Kong and Singapore,Eddie Chi‐Man Hui; Vivian Sze‐Mun Ho; David Kim‐Hin Ho,Emerald,2004,10.1108/14635780410525153,,,,,https://doi.org/10.1108/14635780410525153,,,1.000,,,,DOI metadata verifies a non-book publication; do not create it as an Open Library book,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/LandRentCaptureHongKong_1998.pdf,LandRentCaptureHongKong_1998.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,report,Opportunities and Risks of Capturing Land Values Under Hong Kong's Leasehold System,Yu-Hung Hong; Alven H. S. Lam,Lincoln Institute of Land Policy,1998,,,,,,https://www.lincolninst.edu/app/uploads/2024/04/65_honglam98_1.pdf,,,1.000,,hong-lam-hong-kong-land-values-1998,PUBLICATION,"Official Lincoln Institute working-paper copy and catalog verify the full title, authors, publisher, date, format, and product code WP98YH1",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf,NOT_FOUND,VERIFIED_EXTERNAL,crossref,journal-article,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,Elsevier BV,2010,10.1016/j.tranpol.2009.11.002,,,,,https://doi.org/10.1016/j.tranpol.2009.11.002,,,1.000,,,,DOI metadata verifies a non-book publication; do not create it as an Open Library book,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/NBC-CA-Land-ValueCapture2.pdf,NBC-CA-Land-ValueCapture2.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,report,Land Value Capture as a Source of Funding of Public Transit for Greater Montréal,George Hazel Consultancy Ltd; Edinburgh-Rail Ltd,National Bank of Canada,2014,,,,,,https://files.newswire.ca/1362/Land_Value.pdf,,,1.000,,national-bank-montreal-lvc-2014,PUBLICATION,"Full report title and imprint pages verify the title, preparing organizations, commissioning publisher, October 2014 date, and report format",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf,NOT_FOUND,VERIFIED_EXTERNAL,crossref,journal-article,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,Jorge A. Perdomo,Informa UK Limited,2011,10.1080/13504851.2011.554360,,,,,https://doi.org/10.1080/13504851.2011.554360,,,1.000,,,,DOI metadata verifies a non-book publication; do not create it as an Open Library book,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,article,Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC,Vera F. Rezende; Fernanda Furtado; M. Teresa C. Oliveira; Pedro Jorgensen Jr.,"Revista de Direito da Cidade, Universidade do Estado do Rio de Janeiro",2011,,,,,,https://www.e-publicacoes.uerj.br/rdc/article/view/9853,,,1.000,,rezende-furtado-oodc-2011,NONBOOK,"Journal article, Revista de Direito da Cidade vol. 3 no. 2 (2011), pp. 156-205, with collaboration by Isabela Bacellar; the local PDF's first page and its embedded document title confirm the exact title and the four credited authors; the UERJ e-publicações host did not respond during this session",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/ROJASF~1.PDF,ROJASF~1.PDF,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,article,"Aportes para a melhoria da gestão do transporte público por ônibus de Bogotá, a partir das experiências de Belo Horizonte e Curitiba",Fernando Rojas Parra,Pontificia Universidad Javeriana,2006,,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=2527104,,,1.000,,rojas-parra-papel-politico-2006,NONBOOK,"Papel Político (Bogotá) vol. 11 no. 2, julio-diciembre 2006, pp. 557-594; the local PDF uses a shifted font encoding whose decoded title block and running head confirm the journal, volume, issue and the author's Javeriana affiliation; a journal article, not an Open Library book",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SALGAD~1.PDF,SALGAD~1.PDF,NOT_FOUND,PARENT_COMPONENT,verified_manifest,book,Movilización social de la valorización de la tierra: casos latinoamericanos,María Clara Vejarano; Martim O. Smolka,Lincoln Institute of Land Policy,2007,,,,,,https://www.lincolninst.edu/publications/other/movilizacion-social-la-valorizacion-la-tierra,,,1.000,,movilizacion-social-valorizacion-tierra-2007,COMPONENT,"The local PDF is labelled 'DOCUMENTO 2 DE 2' of the Colombia case study 'Bogotá, D.C. primera experiencia de recuperación de la plusvalía urbana para la colectividad en el marco de la Ley de Desarrollo Territorial' by Sandra V. Salgado, Alexander Sierra, Magda Montaña and María Clara Vejarano; it is one chapter of the Lincoln Institute compilation, not a standalone book",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf,NOT_FOUND,VERIFIED_EXTERNAL,crossref_title,journal-article,Financing Transit Systems Through Value Capture,Jeffery J. Smith; Thomas A. Gihring,Wiley,2006,10.1111/j.1536-7150.2006.00474.x,,,,,https://doi.org/10.1111/j.1536-7150.2006.00474.x,,,0.917,,,,Near-exact long-title search recovered authoritative Crossref DOI metadata for a non-book publication,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,article,Una nueva mirada a la recuperación de plusvalías en América Latina,Martim O. Smolka,Lincoln Institute of Land Policy,2012,,,,,,https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2137_1462_Una_nueva_mirada_a_la_recuperacion_de_plusvalias_0712LLSP.pdf,,,1.000,,land-lines-smolka-plusvalias-2012,NONBOOK,Official Lincoln Institute copy verifies this as a July 2012 Land Lines article rather than a standalone book,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf,SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf,NOT_FOUND,VERIFIED_NONBOOK,verified_manifest,article,Recuperación de plusvalías para el desarrollo urbano: una comparación inter-americana,Martim O. Smolka; David Amborski,"Instituto de Estudios Urbanos y Territoriales, Pontificia Universidad Católica de Chile",2003,10.4067/S0250-71612003008800003,,,,,https://doi.org/10.4067/S0250-71612003008800003,,,1.000,,smolka-amborski-eure-2003,NONBOOK,"Revista EURE vol. XXIX no. 88, Santiago de Chile, diciembre 2003, pp. 55-77; the local PDF's first page carries that exact citation line and the DOI resolves to the matching SciELO Chile record; a journal article, not an Open Library book",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Suzuki.pdf,Suzuki.pdf,NOT_FOUND,OL_MATCHED,crossref,book,Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries,Hiroaki Suzuki; Jin Murakami; Yu-Hung Hong; Beth Tamayose,The World Bank,2015,10.1596/978-1-4648-0149-5,,,,9781464801495,https://doi.org/10.1596/978-1-4648-0149-5,/works/OL22324214W,/books/OL30404172M,1.000,,,,Exact DOI metadata led to Open Library via ISBN,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TfL (2017) - land_value_capture_report_annexes_transport_for_london.pdf,TfL (2017) - land_value_capture_report_annexes_transport_for_london.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,report,Land Value Capture: Annexes,Transport for London; Greater London Authority,Transport for London; Greater London Authority,2017,,,,,,https://www.london.gov.uk/sites/default/files/land_value_capture_report_annexes_transport_for_london.pdf,,,1.000,,tfl-gla-land-value-capture-annexes-2017,PUBLICATION,"Official London government PDF verifies the canonical title, joint responsible organizations, February 2017 final version date, annex structure, and report format",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TLS-2014-Research-Paper-Value-Capture.pdf,TLS-2014-Research-Paper-Value-Capture.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,white-paper,Location Value Capture Opportunities for Urban Public Transport Finance,Deborah Salon,Regional Plan Association; Volvo Research and Educational Foundations,2014,,,,,,https://www.urbanismnext.org/resources/location-value-capture-opportunities-for-urban-public-transport-finance,,,1.000,,salon-location-value-capture-2014,PUBLICATION,"Research catalog and bibliographic references verify the canonical title, author, responsible organizations, year, white-paper format, and Transit Leadership Summit context",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TOBON MARIA PATRICIA MOLINA Rentas inmobiliarias-cargas y beneficios metrocable.pdf,TOBON MARIA PATRICIA MOLINA Rentas inmobiliarias-cargas y beneficios metrocable.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,dissertation,Rentas inmobiliarias privadas en la distribución de cargas y beneficios de los proyectos urbanos: estudio del polígono de la estación Andalucía del Metrocable de Medellín,María Patricia Tobón Molina,"Universidad Nacional de Colombia, Sede Medellín",2012,,,,,,,,,1.000,,tobon-molina-unal-2012,PUBLICATION,"Title page and degree page verify the title, the author, the February 2012 date, the director Henry Quesada Gómez and the degree 'Trabajo final de Maestría en Estudios Urbano Regionales' at the Facultad de Arquitectura, UNAL Medellín; no reachable repositorio.unal.edu.co record was located, so an authoritative URL is still outstanding",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/TRB Land value capture d10781.pdf,TRB Land value capture d10781.pdf,NOT_FOUND,OL_MATCHED,verified_manifest,report,"Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies",United States Government Accountability Office,United States Government Accountability Office,2010,,,,,,https://www.gao.gov/products/gao-10-781,/works/OL32187232W,/books/OL43926837M,1.000,,gao-10-781-2010,PUBLICATION,"Official GAO product record verifies title, report number GAO-10-781, responsible organization, publication date, and 55-page report format",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/value_capture_transit.pdf,value_capture_transit.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,consultant-report,Value Capture from Transit-Oriented Development and Other Transportation Interchanges,African Development Economic Consultants; BKS Engineers,Urban LandMark,2010,,,,,,https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf,,,1.000,,adec-value-capture-transit-2010,PUBLICATION,"Cities Alliance-hosted report and Urban LandMark learning materials verify the canonical title, corporate authors, commissioning publisher, 2009-2010 study period, and consultant-report format",
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/World Bank 2015 financing with value capture.pdf,World Bank 2015 financing with value capture.pdf,NOT_FOUND,OL_MATCHED,crossref,book,Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries,Hiroaki Suzuki; Jin Murakami; Yu-Hung Hong; Beth Tamayose,The World Bank,2015,10.1596/978-1-4648-0149-5,,,,9781464801495,https://doi.org/10.1596/978-1-4648-0149-5,/works/OL22324214W,/books/OL30404172M,1.000,,,,Exact DOI metadata led to Open Library via ISBN,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. BOG BRT prices Rodriguez & Mojica 2009.pdf,X. BOG BRT prices Rodriguez & Mojica 2009.pdf,NOT_FOUND,VERIFIED_EXTERNAL,crossref,journal-article,Capitalization of BRT network expansions effects into prices of non-expansion areas,Daniel A. Rodríguez; Carlos H. Mojica,Elsevier BV,2009,10.1016/j.tra.2009.02.003,,,,,https://doi.org/10.1016/j.tra.2009.02.003,,,1.000,,,,DOI metadata verifies a non-book publication; do not create it as an Open Library book,
Captura de valor,5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. Mendoza - Master Thesis - Value capture for funding Colombian BRTs.pdf,X. Mendoza - Master Thesis - Value capture for funding Colombian BRTs.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,dissertation,Value Capture for Funding Colombian BRTS Infrastructure: The Case of Transmilenio in Bogotá,Camilo Mendoza,"Institute for Housing and Urban Development Studies (IHS), Erasmus University Rotterdam",2005,,,,,,,,,1.000,,mendoza-ihs-2005,PUBLICATION,"Title page verifies the title, the author, supervisor Peter Pol, the report number UMD-1-08, the UMD1 master course running 6 October 2004 to 23 September 2005 and the imprint 'Rotterdam, September 2005'; the year 2004 recorded earlier was the course start, not the publication year; no public IHS or Erasmus repository record was located",
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/DOT Estándar 2.1 (Copia en conflicto de Despacio org 2024-11-15).pdf,DOT Estándar 2.1 (Copia en conflicto de Despacio org 2024-11-15).pdf,NOT_FOUND,ALTERNATE_EDITION,verified_manifest,manual,"TOD Standard, Version 2.1",Institute for Transportation and Development Policy,Institute for Transportation and Development Policy; Despacio,2014,,,,,,https://www.itdp.in/wp-content/uploads/2014/04/01.TOD-Standard_Final.pdf,,,1.000,,itdp-tod-standard-2-1-2014,ALTERNATE_EDITION,Second local copy of the same verified 2014 Version 2.1 publication; group it with the parent work rather than creating another record,
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/DOT Estándar 2.1.pdf,DOT Estándar 2.1.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,manual,"TOD Standard, Version 2.1",Institute for Transportation and Development Policy,Institute for Transportation and Development Policy; Despacio,2014,,,,,,https://www.itdp.in/wp-content/uploads/2014/04/01.TOD-Standard_Final.pdf,,,1.000,,itdp-tod-standard-2-1-2014,PUBLICATION,"Official ITDP copy and current ITDP history page verify the title, responsible organization, publishers, March 2014 date, version, and 77-page manual format; the printed ISBN is an explicit placeholder and is not recorded",
DOT estándar,5 DOT y planeación urbana (Gregor Wessels)/DOT estándar/FINAL_PerformanceBasedTODTypologyGuidebook_FINAL.pdf,FINAL_PerformanceBasedTODTypologyGuidebook_FINAL.pdf,NOT_FOUND,CREATE_CANDIDATE,verified_manifest,guidebook,Performance-Based Transit-Oriented Development Typology Guidebook,Mason Austin; Dena Belzer; Albert Benedict; Paul Esling; Peter Haas; Gajus Miknaitis; Elizabeth Wampler; Jeff Wood; Linda Young; Sam Zimbabwe,Center for Transit-Oriented Development; Reconnecting America; Center for Neighborhood Technology; Strategic Economics,2010,,,,,,https://trid.trb.org/View/1097129,,,1.000,,ctod-performance-tod-typology-2010,PUBLICATION,"TRID authority record verifies the canonical title, ten credited authors, corporate authors, December 2010 date, media type, and pagination",
