local_work_id,local_folders,local_pdf_count,canonical_title,canonical_author,canonical_publisher,canonical_year,document_type,verification_status,ol_work_key,external_url,primary_identifier_type,primary_identifier,openlibrary_eligibility,preparation_status,missing_metadata,suggested_queries,notes
OLP-222CEE8A9EDED40C,DOTS Colombia,1,A SPATIO-TEMPORAL VISUAL ANALYTICS TOOL FOR SIMULATED TRANSPORT ORIENTED-LAND USE URBAN PLANNING DATA,,Copernicus GmbH,2022,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.5194/isprs-archives-xlviii-4-w5-2022-113-2022,doi,10.5194/isprs-archives-XLVIII-4-W5-2022-113-2022,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,author/responsible organization,"""A SPATIO-TEMPORAL VISUAL ANALYTICS TOOL FOR SIMULATED TRANSPORT ORIENTED-LAND USE URBAN PLANNING DATA""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-2105907BF1D027D1,DOTS América Latina,1,Bus rapid transit impacts on land uses and development over time in Bogotá and Quito,C. Erik Vergel-Tovar; Daniel A. Rodriguez,Center for Transportation Studies,2022,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.5198/jtlu.2022.1888,doi,10.5198/jtlu.2022.1888,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Bus rapid transit impacts on land uses and development over time in Bogotá and Quito"" | ""Bus rapid transit impacts on land uses and development over time in Bogotá and Quito"" ""C. Erik Vergel-Tovar""",Near-exact long-title search recovered authoritative Crossref DOI metadata for a non-book publication
OLP-AFAB59165588CEBC,DOTS América Latina,1,Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina),María Alejandra Saus; Andrés Ignacio Aguirre,Universitat Politècnica de Catalunya,2022,proceedings-article,VERIFIED_EXTERNAL,,https://doi.org/10.5821/siiu.10156,doi,10.5821/siiu.10156,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina)"" | ""Valoración del entorno de una estación ferroviaria inactiva mediante estándar DOT: avance metodológico para el caso del Gran Santa Fe (Argentina)"" ""María Alejandra Saus""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-D0DCBDFD40A25E71,DOTS América Latina,1,"Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito",Alba Núñez,Pontificia Universidad Catolica de Chile,2023,journal-article,VERIFIED_EXTERNAL,,https://doi.org/10.7764/eure.49.148.11,doi,10.7764/eure.49.148.11,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito"" | ""Entorno urbano, densidad poblacional y uso del Sistema de Autobuses de Transporte Rápido en Quito"" ""Alba Núñez""",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-71588BA9FADC3293,DOTS Europa & Estados Unidos,1,"Applying DOT's Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds",United States General Accounting Office,United States General Accounting Office,1983,report,MATCHED,/works/OL10729940W,https://www.gao.gov/assets/122342.pdf,openlibrary_work,/works/OL10729940W,ELIGIBLE,READY_TO_LIST,,"""Applying DOT's Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds"" | ""Applying DOT's Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds"" ""United States General Accounting Office""","Official GAO publications catalog verifies the canonical title, report number GAO/RCED-83-24, responsible organization, and publication date of 12 January 1983"
OLP-CC8F084DD3C010C8,Planeación territorial,1,Driving and the built environment,,"Academy of Sciences, the National Academy of Engineering, and the Institute of Medicine. The",2009,book,MATCHED,/works/OL15596836W,,openlibrary_work,/works/OL15596836W,ELIGIBLE,READY_TO_LIST,author/responsible organization,"""Driving and the built environment""",
OLP-F5E0D959F74918D5,Smart Growth,1,Growing Cooler: The Evidence on Urban Development and Climate Change,Reid H. Ewing; Keith Bartholomew; Steve Winkelman; Jerry Walters; Don Chen,Urban Land Institute,2008,book,MATCHED,/works/OL16560037W,https://books.google.com/books/about/Growing_Cooler.html?id=5cskAQAAMAAJ,openlibrary_work,/works/OL16560037W,ELIGIBLE,READY_TO_LIST,,"""Growing Cooler: The Evidence on Urban Development and Climate Change"" | ""Growing Cooler: The Evidence on Urban Development and Climate Change"" ""Reid H. Ewing""","Title and authors match the local PDF; the PDF's printed ISBN-13 ends in 2 and fails checksum, while the verified print ISBN-13 ends in 9"
OLP-CE42BA927A24C8A1,Captura de valor,2,Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries,Hiroaki Suzuki; Jin Murakami; Yu-Hung Hong; Beth Tamayose,The World Bank,2015,book,MATCHED,/works/OL22324214W,https://doi.org/10.1596/978-1-4648-0149-5,openlibrary_work,/works/OL22324214W,ELIGIBLE,READY_TO_LIST,,"""Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries"" | ""Financing Transit-Oriented Development with Land Values: Adapting Land Value Capture in Developing Countries"" ""Hiroaki Suzuki""",Exact DOI metadata led to Open Library via ISBN
OLP-74079746AA6C346B,Captura de valor,1,"Planning, connecting, and financing cities--now",Somik V. Lall,the World Bank’s Urbanization,2013,journal-article,MATCHED,/works/OL23221866W,,openlibrary_work,/works/OL23221866W,ELIGIBLE,READY_TO_LIST,,"""Planning, connecting, and financing cities--now"" | ""Planning, connecting, and financing cities--now"" ""Somik V. Lall""",
OLP-E86B2F0A2638878F,Smart Growth,1,This is smart growth,United States. Environmental Protection Agency.; Smart Growth Network.,U.S. Environmental Protection Agency,2006,book,MATCHED,/works/OL24074484W,https://lccn.loc.gov/2007361835,openlibrary_work,/works/OL24074484W,ELIGIBLE,READY_TO_LIST,,"""This is smart growth"" | ""This is smart growth"" ""United States. Environmental Protection Agency.""",Library of Congress identifier and metadata resolved to an existing Open Library Work
OLP-85ED539CECC428C7,Teoria DOTS,1,Transforming Cities with Transit,Hiroaki Suzuki; Robert Cervero; Kanako Luchi,THE WORLD BANK,2013,journal-article,MATCHED,/works/OL27350490W,,openlibrary_work,/works/OL27350490W,ELIGIBLE,READY_TO_LIST,,"""Transforming Cities with Transit"" | ""Transforming Cities with Transit"" ""Hiroaki Suzuki""",
OLP-604DD9D9B0AC494F,Captura de valor,1,"Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies",United States Government Accountability Office,United States Government Accountability Office,2010,report,MATCHED,/works/OL32187232W,https://www.gao.gov/products/gao-10-781,openlibrary_work,/works/OL32187232W,ELIGIBLE,READY_TO_LIST,,"""Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies"" | ""Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies"" ""United States Government Accountability Office""","Official GAO product record verifies title, report number GAO-10-781, responsible organization, publication date, and 55-page report format"
OLP-8626997ABCDFB9BA,Captura de valor,1,Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones,Patricia Acosta Restrepo,Universidad del Rosario,2010,article,VERIFIED_NONBOOK,,https://revistas.urosario.edu.co/index.php/desafios/article/view/1289,doi,10.12804/revistas.urosario.edu.co/desafios/a.1289,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones"" | ""Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones"" ""Patricia Acosta Restrepo""","Official journal and university research records verify the canonical title, author, year, journal issue, pages, publisher, and DOI"
OLP-107AD4B268EAD126,Captura de valor,1,Policy Learning: New Challenges for Smart Value Capture in Colombia,Patricia Acosta,Massachusetts Institute of Technology,2008,dissertation,CREATE_CANDIDATE,,https://hdl.handle.net/1721.1/44373,url,https://hdl.handle.net/1721.1/44373,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Policy Learning: New Challenges for Smart Value Capture in Colombia"" | ""Policy Learning: New Challenges for Smart Value Capture in Colombia"" ""Patricia Acosta""","MIT thesis metadata and the thesis title page verify the canonical title, author, institution, degree, and May 2008 date"
OLP-E95272A13E76C8F1,Captura de valor,1,Value Capture from Transit-Oriented Development and Other Transportation Interchanges,African Development Economic Consultants; BKS Engineers,Urban LandMark,2010,consultant-report,CREATE_CANDIDATE,,https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf,url,https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Value Capture from Transit-Oriented Development and Other Transportation Interchanges"" | ""Value Capture from Transit-Oriented Development and Other Transportation Interchanges"" ""African Development Economic Consultants""","Cities Alliance-hosted report and Urban LandMark learning materials verify the canonical title, corporate authors, commissioning publisher, 2009-2010 study period, and consultant-report format"
OLP-FA52DE6F26DB5017,Captura de valor,1,Las diferencias en la aplicación de instrumentos de planificación y,Fabián Alberto Díaz; Vanessa Velasco Bernal,Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR),2011,proceedings-article,VERIFIED_NONBOOK,,https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf,url,https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Las diferencias en la aplicación de instrumentos de planificación y"" | ""Las diferencias en la aplicación de instrumentos de planificación y"" ""Fabián Alberto Díaz""","Paper in the anais of the XIV Encontro Nacional da ANPUR, Rio de Janeiro, May 2011; the official ANPUR PDF was downloaded and prints exactly the same truncated title ending in 'y', so the printed title is reproduced verbatim rather than reconstructed; a conference paper, not an Open Library book"
OLP-CEFD6255E5CA8AAB,DOTS América Latina,1,Implementación del desarrollo orientado al transporte público en la Gran Área Metropolitana utilizando el tren urbano,Enoc Adolfo Araya Porras,Universidad de Costa Rica,2022,dissertation,CREATE_CANDIDATE,,https://hdl.handle.net/10669/87649,url,https://hdl.handle.net/10669/87649,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Implementación del desarrollo orientado al transporte público en la Gran Área Metropolitana utilizando el tren urbano"" | ""Implementación del desarrollo orientado al transporte público en la Gran Área Metropolitana utilizando el tren urbano"" ""Enoc Adolfo Araya Porras""","Official Universidad de Costa Rica repository and local thesis title page verify the canonical title, author, institution, year, degree, and repository identifier"
OLP-271A3923F43E58F6,DOTS América Latina,1,Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers,Arturo Ardila,"Universidad de los Andes, Transportation Studies Group",2006,presentation,VERIFIED_NONBOOK,,,local_work,OLP-271A3923F43E58F6,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers"" | ""Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers"" ""Arturo Ardila""","Slide deck presented at Clean Air in Latin America, São Paulo, 2006; slide 1 verifies the title, the author and the Transportation Studies Group at Universidad de los Andes, and every slide footer repeats the event and year; no public archive copy was located, and slides are not an Open Library book"
OLP-22E6A75FA2052F64,Atlas de Accesibilidad y Conectividad,5,Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México,Centro de Transporte Sustentable de México A.C.,Centro de Transporte Sustentable de México A.C.,2010,report,PARENT_COMPONENT,,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,url,https://wrimexico.org/sites/default/files/Informe%20Institucional%20WRI.pdf,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México"" | ""Atlas de Accesibilidad y Conectividad de la Zona Metropolitana del Valle de México"" ""Centro de Transporte Sustentable de México A.C.""",The five local PDFs are named sections of one verified parent atlas; do not treat them as five books
OLP-932A761B1468DA4F,Bogota 21 Transit-oriented Metropolis,3,"Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis",Gregor Wessels; Carlos Felipe Pardo; Juan Pablo Bocarejo,Fundación Despacio,2012,report,CREATE_CANDIDATE,,https://despacio.org/wp-content/uploads/2012/10/Bogota-21-english.pdf,isbn_13,9789585767409,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis"" | ""Bogotá 21: Towards a World-Class, Transit-Oriented Metropolis"" ""Gregor Wessels""",Full English publication; ISBN and coordinating lead authors verified on the copyright page | Full Spanish language edition of the same intellectual work; ISBN and authors verified in the local PDF | Byte-identical local PDF; verified metadata links it to the same intellectual work
OLP-96C978E03B2B52BD,Carto,1,CG-7 Actuaciones Estratégicas,Secretaría Distrital de Planeación de Bogotá,Secretaría Distrital de Planeación de Bogotá,2021,map,VERIFIED_NONBOOK,,https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php,url,https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""CG-7 Actuaciones Estratégicas"" | ""CG-7 Actuaciones Estratégicas"" ""Secretaría Distrital de Planeación de Bogotá""","Official POT map/document, not a book"
OLP-677C7DA09DD3A7D4,Proyectos DOTS,1,Resolución 0958 de 2023: Directrices para la formulación de la Actuación Estratégica Chucua La Vaca,Secretaría Distrital de Planeación de Bogotá,Secretaría Distrital de Planeación de Bogotá,2023,legal-document,VERIFIED_NONBOOK,,,local_work,OLP-677C7DA09DD3A7D4,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Resolución 0958 de 2023: Directrices para la formulación de la Actuación Estratégica Chucua La Vaca"" | ""Resolución 0958 de 2023: Directrices para la formulación de la Actuación Estratégica Chucua La Vaca"" ""Secretaría Distrital de Planeación de Bogotá""",Official administrative resolution verified visually on the local first page; not a book
OLP-1BB1281209DDE5A8,Captura de valor,1,The Effects of Land Policy on Urban Land Prices in Bogotá,Oscar Borrero,Lincoln Institute of Land Policy,2007,working-paper,CREATE_CANDIDATE,,https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/,url,https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""The Effects of Land Policy on Urban Land Prices in Bogotá"" | ""The Effects of Land Policy on Urban Land Prices in Bogotá"" ""Oscar Borrero""","Official Lincoln Institute working-paper page verifies the canonical title, author, publisher, September 2007 date, language, and pagination"
OLP-CB3DFDBF714E54AE,Captura de valor; DOTS América Latina,2,"Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final",Infratrans Consultancy LAC SAS; Juan Felipe Pinilla Pineda,CAF,2014,consultant-report,CREATE_CANDIDATE,,https://scioteca.caf.com/handle/123456789/1404,isbn_13,9789804221279,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final"" | ""Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final"" ""Infratrans Consultancy LAC SAS""","Local consultant-report title page verifies the June 2014 version; it is the earlier final project report underlying the verified 2019 CAF book, so it is grouped as an alternate edition of the same intellectual work | Official CAF repository metadata and the publication copyright page verify canonical title, authors, publisher, year, document type, and checksum-valid ISBN"
OLP-5E5D407E1AAC85B5,DOTS Colombia,1,"Potencial del Desarrollo Orientado al Transporte como transformador urbano. Caso de estudio: Transmilenio, Bogotá, Colombia, 2019",Paola M. Cavadía Álvarez,Universitat de Barcelona,2019,dissertation,CREATE_CANDIDATE,,https://hdl.handle.net/2445/140558,url,https://hdl.handle.net/2445/140558,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Potencial del Desarrollo Orientado al Transporte como transformador urbano. Caso de estudio: Transmilenio, Bogotá, Colombia, 2019"" | ""Potencial del Desarrollo Orientado al Transporte como transformador urbano. Caso de estudio: Transmilenio, Bogotá, Colombia, 2019"" ""Paola M. Cavadía Álvarez""","Treball de fi de màster for the Màster en Planificació Territorial i Gestió Ambiental, Universitat de Barcelona through the Centro Universitario Internacional de Barcelona (UNIBA), tutor Verónica I. Quiroz López; the UB repository record at handle 2445/140558 (file TFM_Cavadia_Paola.pdf) matches the local PDF, whose cover is dated Barcelona, 30 July 2019"
OLP-59D9B227F6C05028,Recomendaciones de política- DOTS,1,Formulación de los lineamientos y recomendaciones de política para la implementación de iniciativas de Desarrollo Orientado al Transporte Sostenible (DOTS) en Colombia: presentación general del proyecto,Consorcio SIGMA Gestión de Proyectos – Despacio,Consorcio SIGMA Gestión de Proyectos – Despacio,2020,presentation,VERIFIED_NONBOOK,,https://despacio.org/portfolio/lineamientos-para-una-politica-nacional-dots/,url,https://despacio.org/portfolio/lineamientos-para-una-politica-nacional-dots/,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Formulación de los lineamientos y recomendaciones de política para la implementación de iniciativas de Desarrollo Orientado al Transporte Sostenible (DOTS) en Colombia: presentación general del proyecto"" | ""Formulación de los lineamientos y recomendaciones de política para la implementación de iniciativas de Desarrollo Orientado al Transporte Sostenible (DOTS) en Colombia: presentación general del proyecto"" ""Consorcio SIGMA Gestión de Proyectos – Despacio""","Slide deck dated October 2020 carrying the '© Copyright CONSORCIO SIGMA GP - DESPACIO 2020' line on every slide; a project presentation, not an Open Library book"
OLP-CE01BCC2388CDD0E,Captura de valor,1,Insumos para la aplicación de Certificados de Potencial Adicional de Construcción en la ciudad de Cali,Tito Yepes; Juan Carlos Junca; Juliana Aguilar; Sebastián Martínez,Fedesarrollo,2013,report,CREATE_CANDIDATE,,https://ideas.repec.org/p/col/000124/012155.html,url,https://ideas.repec.org/p/col/000124/012155.html,ELIGIBLE_BOOKLIKE,READY_FOR_IMPORT_PREVIEW,,"""Insumos para la aplicación de Certificados de Potencial Adicional de Construcción en la ciudad de Cali"" | ""Insumos para la aplicación de Certificados de Potencial Adicional de Construcción en la ciudad de Cali"" ""Tito Yepes""","RePEc and the Fedesarrollo repository verify the full report title, authors, year, and publisher"
OLP-9B101C515AEDDC0F,Proyectos DOTS,1,NS-127 – Colombia TOD NAMA: NAMA seeking support for implementation,Findeter; Center for Clean Air Policy,United Nations Framework Convention on Climate Change,2015,registry-record,VERIFIED_NONBOOK,,https://www4.unfccc.int/sites/PublicNAMA/_layouts/un/fccc/nama/NamaSeekingSupportForImplementation.aspx?ID=67,url,https://www4.unfccc.int/sites/PublicNAMA/_layouts/un/fccc/nama/NamaSeekingSupportForImplementation.aspx?ID=67,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""NS-127 – Colombia TOD NAMA: NAMA seeking support for implementation"" | ""NS-127 – Colombia TOD NAMA: NAMA seeking support for implementation"" ""Findeter""","Print-out of UNFCCC public NAMA registry entry NS-127; the national implementing entity contacts are Sandra P. Bejarano of Findeter and Steve Winkelman of CCAP, and the record states an expected implementation start of 2015 but carries no publication date, so the year is left blank rather than inferred; the UNFCCC registry was in maintenance during this session, and CCAP's own record is at https://www.ccap.org/post/colombia-transit-oriented-development-nama-selected-for-funding; a registry record, not an Open Library book"
OLP-C85942E9DBEFF98B,Captura de valor,1,Value Capture: A Valid Means of Funding PPPs?,Ciaran Connolly; Anthony Wall,Wiley,2016,article,VERIFIED_NONBOOK,,https://pure.qub.ac.uk/en/publications/value-capture-a-valid-means-of-funding-ppps/,doi,10.1111/faam.12083,OUTSIDE_BOOK_CATALOG_SCOPE,KEEP_EXTERNAL_OR_LOCAL,,"""Value Capture: A Valid Means of Funding PPPs?"" | ""Value Capture: A Valid Means of Funding PPPs?"" ""Ciaran Connolly""","Queen's University Belfast research record and Wiley DOI page verify the journal article title, authors, year, journal, pages, publisher, and DOI"
