local_folder,filename_pattern,parent_publication_id,publication_role,canonical_title,canonical_author,canonical_publisher,canonical_year,isbn_10,isbn_13,doi,document_type,source_url,notes
"Captura de valor","Insumos-para-la-aplicación-de-Certificados-de-Potencial-Adicional-de-Construcción-en-la-ciudad-de-Cali-CEPAC.pdf","cepac-cali-2013","PUBLICATION","Insumos para la aplicación de Certificados de Potencial Adicional de Construcción en la ciudad de Cali","Tito Yepes; Juan Carlos Junca; Juliana Aguilar; Sebastián Martínez","Fedesarrollo","2013","","","","report","https://ideas.repec.org/p/col/000124/012155.html","RePEc and the Fedesarrollo repository verify the full report title, authors, year, and publisher"
"DOTS Europa & Estados Unidos","1411_727_Final July 2008 07.pdf","land-lines-july-2008","NONBOOK","Land Lines, July 2008","Ann LeRoyer","Lincoln Institute of Land Policy","2008","","","","serial-issue","https://www.lincolninst.edu/publications/issues/land-lines-july-2008/","Verified quarterly newsletter issue; not an Open Library book candidate"
"DOTS Europa & Estados Unidos","1743_963_Land Lines January 2010.pdf","land-lines-january-2010","NONBOOK","Land Lines, January 2010","Ann LeRoyer","Lincoln Institute of Land Policy","2010","","","","serial-issue","https://www.lincolninst.edu/publications/issues/land-lines-january-2010/","Verified quarterly newsletter issue; not an Open Library book candidate"
"Carto","cg-7_actuaciones_estrategicas.pdf","bogota-pot-cg7-2021","NONBOOK","CG-7 Actuaciones Estratégicas","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","map","https://concejodebogota.gov.co/consulte-aqui-los-documentos-radicados-por-la-administracion-distrital/cbogota/2021-09-11/121910.php","Official POT map/document, not a book"
"Proyectos DOTS","Resolucion_0958_DOT_Villa_Nelly.pdf","bogota-resolution-0958-2023","NONBOOK","Resolución 0958 de 2023: Directrices para la formulación de la Actuación Estratégica Chucua La Vaca","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2023","","","","legal-document","","Official administrative resolution verified visually on the local first page; not a book"
"DOTS América Latina","TOD manual spanish.pdf","dots-manual-2009","ALTERNATE_EDITION","Manual: Desarrollo Orientado al Transporte Sustentable (DOTS)","Centro de Transporte Sustentable de México A.C.","Centro de Transporte Sustentable de México A.C.","2010","","","","manual","https://es.wri.org/publicaciones/manual-desarrollo-orientado-al-transporte-sustentable","Image-only full Spanish manual; cover and contents match the verified split-section publication"
"Proyectos DOTS","DOT_Manizales.pdf","tod-nama-manizales-2021","NONBOOK","TOD NAMA Manizales: Renace el Centro","Findeter; Alcaldía de Manizales","Findeter","2021","","","","presentation","https://manizales.gov.co/wp-content/uploads/Informe-Manizales-M%C3%A1s-Oportunidades-2016-2019.pdf","Ten-page image-only project brochure/presentation; title and responsible institutions verified visually and the official city report corroborates the project"
"DOTS Europa & Estados Unidos","LAND TAX Jerry Jones M Star 1 Feb 06.pdf","morning-star-land-hoarding-2006","NONBOOK","The Simple Way to End Land Hoarding","Jerry Jones","Morning Star","2006","","","","newspaper-article","https://www.labourland.org/land-value-tax-in-the-news/","Single newspaper page dated 1 February 2006; title, author, newspaper, and date verified visually and corroborated by the Labour Land Campaign index"
"DOTS Europa & Estados Unidos","land use europe technical_report_9_2007.pdf","eea-land-use-scenarios-europe-2007","PUBLICATION","Land-use scenarios for Europe: qualitative and quantitative analysis on a European scale","European Environment Agency","European Environment Agency","2007","","9789291679270","","report","https://www.eea.europa.eu/publications/technical_report_2007_9","Official EEA Technical Report 9/2007; title, responsible organization, publisher, year, series, pagination, and checksum-valid ISBN corroborated by government-hosted copies"
"Planeación territorial","land use and transport planning New Zealand.pdf","nzta-research-report-333-2007","PUBLICATION","Integrating land use and transport planning","M. Ward; J. Dixon; B. Sadler; J. Wilson","Land Transport New Zealand","2007","","9780478287462","","report","https://www.nzta.govt.nz/resources/research/reports/333","Official NZ Transport Agency catalog page verifies title, authors, publisher, report number, date, pagination, and checksum-valid ISBN"
"Smart Growth","Smart Growth vs travel demand - SHRP2_S2-C16-RR-1.pdf","shrp2-effect-smart-growth-travel-demand-2014","PUBLICATION","Effect of Smart Growth Policies on Travel Demand","Maren Outwater; Colin Smith; Jerry Walters; Brian Welch; Robert Cervero; Kara M. Kockelman; J. Richard Kuzmyak","Transportation Research Board","2014","","9780309272889","","report","https://trid.trb.org/View/1248222","TRID and National Academies metadata verify title, authors, publisher, report S2-C16-RR-1, pagination, date, and checksum-valid ISBN"
"DOTS América Latina","1 Creacion y captura de valor para el desarrollo de proyectos de transporte-28feb.pdf","caf-value-capture-transport-2019","PUBLICATION","Creación y captura de valor para el desarrollo de proyectos de transporte","Carlos Felipe Pardo; Juan Felipe Pinilla Pineda; Catalina Villegas; Adriana Hurtado; Gregor Wessels; Carlos A. Moreno; Patricia Calderón; Catalina Duarte","CAF","2019","","9789804221279","","book","https://scioteca.caf.com/handle/123456789/1404","Official CAF repository metadata and the publication copyright page verify canonical title, authors, publisher, year, document type, and checksum-valid ISBN"
"DOTS Europa & Estados Unidos","TOD-infrastructure-financing-report-2013.pdf","epa-infrastructure-financing-tod-2013","PUBLICATION","Infrastructure Financing Options for Transit-Oriented Development","United States Environmental Protection Agency","United States Environmental Protection Agency","2013","","","","report","https://www.epa.gov/smartgrowth/infrastructure-financing-options-transit-oriented-development","Official EPA publication page verifies the canonical title, responsible organization, publisher, date, scope, and 251-page report format"
"Captura de valor","TRB Land value capture d10781.pdf","gao-10-781-2010","PUBLICATION","Public Transportation: Federal Role in Value Capture Strategies for Transit Is Limited, but Additional Guidance Could Help Clarify Policies","United States Government Accountability Office","United States Government Accountability Office","2010","","","","report","https://www.gao.gov/products/gao-10-781","Official GAO product record verifies title, report number GAO-10-781, responsible organization, publication date, and 55-page report format"
"DOTS Europa & Estados Unidos","Applying DOT Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds.pdf","gao-rced-83-24-1983","PUBLICATION","Applying DOT's Rail Policy to Washington, D.C.'s Metrorail System Could Save Federal Funds","United States General Accounting Office","United States General Accounting Office","1983","","","","report","https://www.gao.gov/assets/122342.pdf","Official GAO publications catalog verifies the canonical title, report number GAO/RCED-83-24, responsible organization, and publication date of 12 January 1983"
"Teoria DOTS","WB TOD 113822-REVISED-4-17-MAIN-3Vapproach-orginal-Enhanc1.pdf","world-bank-3v-tod-2017","PUBLICATION","Transforming the Urban Space through Transit-Oriented Development: The 3V Approach","Serge Salat; Gerald Ollivier","World Bank","2017","","","10.1596/26405","book","https://www.worldbank.org/en/topic/transport/publication/transforming-the-urban-space-through-transit-oriented-development-the-3v-approach","Official World Bank publication page and repository record verify title, authors, publisher, year, report number 113822, and DOI"
"Smart Growth","smart growth - economic_success.pdf","epa-smart-growth-economic-success-2012","PUBLICATION","Smart Growth and Economic Success: Benefits for Real Estate Developers, Investors, Businesses, and Local Governments","United States Environmental Protection Agency, Office of Sustainable Communities","United States Environmental Protection Agency","2012","","","","report","https://www.epa.gov/sites/default/files/documents/smart_growth_and_economic_success.pdf","Official EPA publication and archived program page verify the canonical cover title, responsible office, publisher, and December 2012 publication date"
"Smart Growth","TRB-smart_growth_guide.pdf","epa-smart-growth-ghg-guide-2010","PUBLICATION","Smart Growth: A Guide to Developing and Implementing Greenhouse Gas Reduction Programs","United States Environmental Protection Agency","United States Environmental Protection Agency","2010","","","","report","https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=P100B4BC.TXT","Official EPA National Service Center for Environmental Publications record verifies the title, responsible organization, publisher, date, and guide content"
"Smart Growth","Smart_Growth-econdev.pdf","iedc-economic-development-smart-growth-2006","PUBLICATION","Economic Development and Smart Growth: 8 Case Studies on the Connections Between Smart Growth Development and Jobs, Wealth, and Quality of Life in Communities","Alex Iams; Pearl Kaplan","International Economic Development Council","2006","","","","report","https://opd.gov.mp/library/smart-safe-growth/economic-development-and-smart-growth/iedc-2006-economic-development-and-smart-growth.pdf","Government-hosted publication copy and IEDC material verify the full title, editors, publisher, cooperative agreement, and August 2006 date"
"Smart Growth","Driven Apart How sprawl is lengthening our commutes and why misleading mobility measures.pdf","driven-apart-cortright-2010","PUBLICATION","Driven Apart: How Sprawl Is Lengthening Our Commutes and Why Misleading Mobility Measures Are Making Things Worse","Joe Cortright","CEOs for Cities","2010","","","","report","https://cityobservatory.org/wp-content/uploads/2015/08/Cortright_Driven_Apart_2010.pdf","Author-hosted report copy verifies the canonical title, author, publisher, Rockefeller Foundation funding, and September 2010 date"
"Captura de valor","LandRentCaptureHongKong_1998.pdf","hong-lam-hong-kong-land-values-1998","PUBLICATION","Opportunities and Risks of Capturing Land Values Under Hong Kong's Leasehold System","Yu-Hung Hong; Alven H. S. Lam","Lincoln Institute of Land Policy","1998","","","","report","https://www.lincolninst.edu/app/uploads/2024/04/65_honglam98_1.pdf","Official Lincoln Institute working-paper copy and catalog verify the full title, authors, publisher, date, format, and product code WP98YH1"
"Captura de valor","SMOLKA MARTIM 2012 Una nueva mirada a la recuperacion de_plusvalias.pdf","land-lines-smolka-plusvalias-2012","NONBOOK","Una nueva mirada a la recuperación de plusvalías en América Latina","Martim O. Smolka","Lincoln Institute of Land Policy","2012","","","","article","https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2137_1462_Una_nueva_mirada_a_la_recuperacion_de_plusvalias_0712LLSP.pdf","Official Lincoln Institute copy verifies this as a July 2012 Land Lines article rather than a standalone book"
"DOT estándar","DOT Estándar 2.1.pdf","itdp-tod-standard-2-1-2014","PUBLICATION","TOD Standard, Version 2.1","Institute for Transportation and Development Policy","Institute for Transportation and Development Policy; Despacio","2014","","","","manual","https://www.itdp.in/wp-content/uploads/2014/04/01.TOD-Standard_Final.pdf","Official ITDP copy and current ITDP history page verify the title, responsible organization, publishers, March 2014 date, version, and 77-page manual format; the printed ISBN is an explicit placeholder and is not recorded"
"DOT estándar","DOT Estándar 2.1 (Copia en conflicto de Despacio org 2024-11-15).pdf","itdp-tod-standard-2-1-2014","ALTERNATE_EDITION","TOD Standard, Version 2.1","Institute for Transportation and Development Policy","Institute for Transportation and Development Policy; Despacio","2014","","","","manual","https://www.itdp.in/wp-content/uploads/2014/04/01.TOD-Standard_Final.pdf","Second local copy of the same verified 2014 Version 2.1 publication; group it with the parent work rather than creating another record"
"DOT estándar","ITDP TOD Standard_Final_ITDP.pdf","itdp-tod-standard-2-1-2014","ALTERNATE_EDITION","TOD Standard, Version 2.1","Institute for Transportation and Development Policy","Institute for Transportation and Development Policy; Despacio","2014","","","","manual","https://www.itdp.in/wp-content/uploads/2014/04/01.TOD-Standard_Final.pdf","Alternate local filename/copy of the same verified 2014 Version 2.1 publication; group it with the parent work rather than creating another record"
"Captura de valor","ACOSTA PATRICIA 2008 Policy Learningn new Challenges for Smart Value capture in colombia.pdf","acosta-policy-learning-2008","PUBLICATION","Policy Learning: New Challenges for Smart Value Capture in Colombia","Patricia Acosta","Massachusetts Institute of Technology","2008","","","","dissertation","https://hdl.handle.net/1721.1/44373","MIT thesis metadata and the thesis title page verify the canonical title, author, institution, degree, and May 2008 date"
"Captura de valor","Connolly_et_al-2016-Financial_Accountability_&_Management.pdf","connolly-wall-value-capture-ppps-2016","NONBOOK","Value Capture: A Valid Means of Funding PPPs?","Ciaran Connolly; Anthony Wall","Wiley","2016","","","10.1111/faam.12083","article","https://pure.qub.ac.uk/en/publications/value-capture-a-valid-means-of-funding-ppps/","Queen's University Belfast research record and Wiley DOI page verify the journal article title, authors, year, journal, pages, publisher, and DOI"
"Captura de valor","Experience with the betterment levy in Peru. Gamarra Huayapa English Final.pdf","gamarra-betterment-levy-peru-2001","PUBLICATION","Experience with the Betterment Levy in Peru","Margarita Gamarra Huayapa","Lincoln Institute of Land Policy","2001","","","","working-paper","https://www.lincolninst.edu/app/uploads/2024/04/1558_783_Land20Lines20Jan20200920final.pdf","Lincoln Institute bibliography and the local working-paper title page verify the title, author, publisher, and original 2001 date; a later bibliography lists the English translation in 2008"
"Captura de valor","Impactos_Regulaciones_Precios-Borrero_Oscar-2007.pdf","borrero-land-policy-prices-bogota-2007","PUBLICATION","The Effects of Land Policy on Urban Land Prices in Bogotá","Oscar Borrero","Lincoln Institute of Land Policy","2007","","","","working-paper","https://www.lincolninst.edu/publications/working-papers/effects-land-policy-urban-land-prices-bogota/","Official Lincoln Institute working-paper page verifies the canonical title, author, publisher, September 2007 date, language, and pagination"
"Captura de valor","Instrumentos de financiacion del desarrollo urbano, lecciones colombia Acosta Patricia.pdf","acosta-instrumentos-financiacion-2010","NONBOOK","Instrumentos de financiación del desarrollo urbano en Colombia: la contribución por valorización y la participación en plusvalías. Lecciones y reflexiones","Patricia Acosta Restrepo","Universidad del Rosario","2010","","","10.12804/revistas.urosario.edu.co/desafios/a.1289","article","https://revistas.urosario.edu.co/index.php/desafios/article/view/1289","Official journal and university research records verify the canonical title, author, year, journal issue, pages, publisher, and DOI"
"DOT estándar","FINAL_PerformanceBasedTODTypologyGuidebook_FINAL.pdf","ctod-performance-tod-typology-2010","PUBLICATION","Performance-Based Transit-Oriented Development Typology Guidebook","Mason Austin; Dena Belzer; Albert Benedict; Paul Esling; Peter Haas; Gajus Miknaitis; Elizabeth Wampler; Jeff Wood; Linda Young; Sam Zimbabwe","Center for Transit-Oriented Development; Reconnecting America; Center for Neighborhood Technology; Strategic Economics","2010","","","","guidebook","https://trid.trb.org/View/1097129","TRID authority record verifies the canonical title, ten credited authors, corporate authors, December 2010 date, media type, and pagination"
"DOTS América Latina","DOTS Cidades - EMBARQ Brasil.pdf","embarq-dots-cidades-2015","PUBLICATION","DOTS Cidades: Manual de Desenvolvimento Urbano Orientado ao Transporte Sustentável","EMBARQ Brasil","EMBARQ Brasil","2015","","","","manual","https://www.mpsp.mp.br/portal/page/portal/documentacao_e_divulgacao/doc_biblioteca/bibli_servicos_produtos/BibliotecaDigital/BibDigitalLivros/TodosOsLivros/DOTS_Cidades--Manual_de_Desenvolvimento_Urbano_Orientado_ao_Transporte_Sustentavel.pdf","Government-hosted full publication and copyright page verify the canonical title, responsible organization, publisher, 2015 date, format, and pagination"
"DOTS Colombia","2019_DOTS_Una prospectiva para Colombia.pdf","quintero-dots-colombia-2019","NONBOOK","Desarrollo Orientado al Transporte Sostenible (DOTS): Una prospectiva para Colombia","Julián Rodrigo Quintero González","Universidad Nacional de Colombia","2019","","","10.15446/bitacora.v29n3.65979","article","https://revistas.unal.edu.co/index.php/bitacora/article/view/65979","Official Bitácora Urbano Territorial record verifies the title, author, publisher, year, volume, issue, pages, and DOI; this is a journal article rather than a book"
"DOTS Colombia","2021-Ciudad, transporte y genero-MFP.pdf","parra-ciudad-transporte-genero-2021","PUBLICATION","Ciudad, transporte y género: la movilidad urbana en el desarrollo sostenible de Villavicencio","María Fernanda Parra Mosquera","Universidad de los Andes","2021","","","","dissertation","https://hdl.handle.net/1992/54341","Colombian national repository aggregator and Universidad de los Andes handle record verify the canonical title, author, institution, year, resource type, and repository identifier"
"Captura de valor","TfL (2017) - land_value_capture_report_annexes_transport_for_london.pdf","tfl-gla-land-value-capture-annexes-2017","PUBLICATION","Land Value Capture: Annexes","Transport for London; Greater London Authority","Transport for London; Greater London Authority","2017","","","","report","https://www.london.gov.uk/sites/default/files/land_value_capture_report_annexes_transport_for_london.pdf","Official London government PDF verifies the canonical title, joint responsible organizations, February 2017 final version date, annex structure, and report format"
"Captura de valor","TLS-2014-Research-Paper-Value-Capture.pdf","salon-location-value-capture-2014","PUBLICATION","Location Value Capture Opportunities for Urban Public Transport Finance","Deborah Salon","Regional Plan Association; Volvo Research and Educational Foundations","2014","","","","white-paper","https://www.urbanismnext.org/resources/location-value-capture-opportunities-for-urban-public-transport-finance","Research catalog and bibliographic references verify the canonical title, author, responsible organizations, year, white-paper format, and Transit Leadership Summit context"
"Captura de valor","NBC-CA-Land-ValueCapture2.pdf","national-bank-montreal-lvc-2014","PUBLICATION","Land Value Capture as a Source of Funding of Public Transit for Greater Montréal","George Hazel Consultancy Ltd; Edinburgh-Rail Ltd","National Bank of Canada","2014","","","","report","https://files.newswire.ca/1362/Land_Value.pdf","Full report title and imprint pages verify the title, preparing organizations, commissioning publisher, October 2014 date, and report format"
"Captura de valor","value_capture_transit.pdf","adec-value-capture-transit-2010","PUBLICATION","Value Capture from Transit-Oriented Development and Other Transportation Interchanges","African Development Economic Consultants; BKS Engineers","Urban LandMark","2010","","","","consultant-report","https://www.citiesalliance.org/sites/default/files/value_capture_transit.pdf","Cities Alliance-hosted report and Urban LandMark learning materials verify the canonical title, corporate authors, commissioning publisher, 2009-2010 study period, and consultant-report format"
"DOTS Europa & Estados Unidos","land-use-regulations-USA.pdf","pendall-land-use-regulations-2006","PUBLICATION","From Traditional to Reformed: A Review of the Land Use Regulations in the Nation's 50 Largest Metropolitan Areas","Rolf Pendall; Robert Puentes; Jonathan Martin","Brookings Institution","2006","","","","research-brief","https://www.brookings.edu/wp-content/uploads/2016/06/20060802_pendall.pdf","Official Brookings full report verifies the canonical title, three authors, publisher, August 2006 date, research-brief series, and pagination"
"Planeación territorial","land use and transport challenges for research and policy making.pdf","van-wee-land-use-transport-2002","NONBOOK","Land Use and Transport: Research and Policy Challenges","Bert van Wee","Elsevier","2002","","","10.1016/S0966-6923(02)00041-8","article","https://research.tudelft.nl/en/publications/land-use-and-transport-research-and-policy-challenges/","TU Delft research record verifies the journal article title, author, publisher, date, journal, volume, issue, pages, and DOI"
"DOTS Europa & Estados Unidos","property tax sprawl hpd_1701_goodman.pdf","goodman-houses-apartments-property-taxes-2006","NONBOOK","Houses, Apartments, and the Incidence of Property Taxes","Jack Goodman","Fannie Mae Foundation","2006","","","10.1080/10511482.2006.9521558","article","https://www.tandfonline.com/doi/abs/10.1080/10511482.2006.9521558","Publisher DOI page verifies the article title, author, 2006 Housing Policy Debate volume and issue, pages, publisher context, and DOI"
"DOTS América Latina","s5.pdf","vergel-density-brt-2019","NONBOOK","¿Es la densidad suficiente? Análisis de la relación entre la densidad poblacional y la demanda de pasajeros en los sistemas de transporte público masivo tipo BRT (Bus Rapid Transit) en Curitiba, Quito y Bogotá","C. Erik Vergel-Tovar","International Institute for Environment and Development–Latin America","2019","","","","article","https://www.ingentaconnect.com/contentone/iieal/meda/2019/00000090/00000001/art00005","Author CV and journal issue references verify the canonical title, author, journal, issue 90, August 2019 date, and article format"
"DOTS América Latina","2022_DOTS__Costa_Rica.pdf","araya-dotp-costa-rica-2022","PUBLICATION","Implementación del desarrollo orientado al transporte público en la Gran Área Metropolitana utilizando el tren urbano","Enoc Adolfo Araya Porras","Universidad de Costa Rica","2022","","","","dissertation","https://hdl.handle.net/10669/87649","Official Universidad de Costa Rica repository and local thesis title page verify the canonical title, author, institution, year, degree, and repository identifier"
"DOTS América Latina","2022_DOTS_Salta.pdf","galindo-salta-tod-2023","PUBLICATION","Plan de internacionalización de la ciudad de Salta mediante el desarrollo orientado al transporte","Ricardo Galindo Anaya-Ferrel","Universidad Siglo 21","2023","","","","dissertation","https://repositorio.21.edu.ar/handle/ues21/28467","Official university repository verifies the canonical title, author, institution, final-degree-work type, September 2023 issue date, and handle; the local title page is dated 2022"
"DOTS América Latina","DOTS_Latam.pdf","idb-tod-latin-america-2021","PUBLICATION","Desarrollo orientado al transporte: una evaluación de tendencias y oportunidades para América Latina","Daniel A. Rodríguez; Mario Durán Ortiz; Jason Hobbs; Francisca María Magdalena Rojas; Anne Hudson","Inter-American Development Bank","2021","","","10.18235/0003802","discussion-paper","https://publications.iadb.org/es/desarrollo-orientado-al-transporte-una-evaluacion-de-tendencias-y-oportunidades-para-america-latina","Official IDB publication and Dublin Core records verify the title, author, editors, publisher, November 2021 date, report number IDB-DP-00802, pagination, and DOI"
"DOTS América Latina","Integración de transporte no motorizado y DOTS 2014.pdf","pardo-calderon-tnm-dots-2014","PUBLICATION","Integración de Transporte no Motorizado y DOTS","Carlos Felipe Pardo; Patricia Calderón Peña","Cámara de Comercio de Bogotá; Fundación Despacio","2014","","9789585767454","","book","https://bibliotecadigital.ccb.org.co/items/c040679c-44a6-421c-8aa7-05e994c578d7","Official Cámara de Comercio de Bogotá repository and publication copy verify the title, authors, publishers, year, description, handle, and checksum-valid ISBN"
"DOTS América Latina","U Andes David Melendez Th II  Eng 8 Final.pdf","melendez-bogota-location-model-2014","PUBLICATION","Estimation of a Location Model of Land Uses in the City of Bogotá for the Assessment of a Transit-Oriented Development (TOD) Scheme in a BRT Corridor","David Francisco Meléndez Guevara","Universidad de los Andes","2014","","","","dissertation","","Local thesis title and approval pages verify the canonical title, author, institution, January 2014 date, degree, adviser, and document type; the national RedCol index independently lists this Universidad de los Andes thesis and year"
"DOTS América Latina","Economy, environment and culture in Latin America - David Edelman.pdf","edelman-allor-latin-america-2018","PUBLICATION","Economy, Environment & Culture in Latin America: A Comparative Study of National Planning in Brazil and Mexico","David J. Edelman; David J. Allor","LAP Lambert Academic Publishing","2018","","9786139845675","","book","https://researchdirectory.uc.edu/p/edelmadj","University of Cincinnati author bibliography and bookseller authority data verify the title, both authors, publisher, May 2018 date, pagination, language, and checksum-valid ISBN"
"DOTS Europa & Estados Unidos","2007TODCaseStudies.pdf","ctod-tod-case-studies-2007","PUBLICATION","TOD Case Studies: Implementation in Low-Income, Diverse Neighborhoods","Center for Transit-Oriented Development","Center for Transit-Oriented Development","2007","","","","report","https://ctod.org/pdfs/2007TODCaseStudies.pdf","CTOD-hosted report verifies the title, corporate author, responsible organizations, funder, updated date of 17 January 2007, and report purpose"
"DOTS Europa & Estados Unidos","Measuring Equity in Transit-Oriented Development_ Application to.pdf","oranga-equity-tod-2015","PUBLICATION","Measuring Equity in Transit-Oriented Development: Application to Affordable Housing","Beryl Oranga","SIT Graduate Institute","2015","","","","capstone","https://digitalcollections.sit.edu/capstones/2811/","Official SIT digital collection verifies the canonical title, author, institution, year, degree, advisers, capstone identifier, and document type"
"DOTS Asia","HCMC transport and land use research.pdf","gomez-ibanez-thanh-hcmc-2008","PUBLICATION","Ho Chi Minh City Transport and Land Use","José A. Gómez-Ibáñez; Nguyen Xuan Thanh","Fulbright Economics Teaching Program","2008","","","","teaching-case","https://fsppm.fulbright.edu.vn/en/case/ho-chi-minh-city-transport-and-land-use-56/","Official Fulbright School case catalog verifies the title, authors, publisher, 22 June 2008 date, case number CE08-32-34.0, media type, and pagination"
"DOTS Europa & Estados Unidos","abc dutch planning.pdf","martens-griethuysen-abc-1999","PUBLICATION","The ABC Location Policy in the Netherlands: The Right Business at the Right Place","M. J. Martens; S. van Griethuysen","TNO Inro","1999","","","","report","https://www.gov.wales/sites/default/files/publications/2018-10/application-of-accessibility-methodologies-to-land-use-planning.pdf","Local TRANSLAND report title page and government bibliography verify the title, authors, publisher, 3 September 1999 date, and report context"
"DOTS Europa & Estados Unidos","Columbia Heights case.pdf","dc-columbia-heights-framework-2004","NONBOOK","Columbia Heights Public Realm Framework","Zimmer Gunsul Frasca Partnership","Government of the District of Columbia, Office of Planning","2004","","","","planning-document","https://planning.dc.gov/page/columbia-heights-public-realm-framework-plan-and-columbia-heights-revitalization-information","Official DC Office of Planning page and full plan verify the title, preparer, issuing organization, October 2004 date, and planning-document type"
